# delz, RspecovRlambda, pmem
0.000940464 0.115522 0.994019
0.00210392 0.737857 0.0596015
-0.000642546 0.769959 0.906324
-0.00163856 0.915616 0.342888
-0.00236881 0.74021 0.941277
0.00141932 0.46718 0.908971
-0.00113925 0.627019 0.931755
0.000523835 1.07108 0.0650448
-0.000398494 0.690981 0.930533
0.00165886 1.01383 0.282152
-0.00393006 1.00045 0.196923
0.00123806 0.518053 0.935032
-0.00421973 1.07391 0.054057
0.0087861 0.990946 0.379322
-0.00396354 0.871702 0.657115
0.0575508 0.766187 0.588371
0.00132682 0.469163 0.549273
-0.00266372 0.44232 0.952605
-0.00794844 0.448767 0.950141
0.0163194 0.449239 0.902642
-0.00427267 0.350932 0.965925
-0.00241505 0.457578 0.979029
-0.00658473 0.67934 0.918693
-0.00429698 0.476863 0.962197
-0.00130516 0.442996 0.767749
-0.00110853 0.455661 0.979993
0.016408 0.51907 0.925572
-0.0001693 0.541814 0.934336
-0.00461491 0.308606 0.976646
-0.00272599 0.37694 0.979544
-0.00247742 0.613887 0.934092
-0.00528298 0.648392 0.932257
-0.00182978 0.463578 0.9602
0.112187 0.819838 0.0499804
-0.00331994 0.353387 0.970739
-0.00412589 0.484622 0.699536
0.00249838 0.256488 0.986928
-0.00191762 0.268602 0.984959
-0.000204854 0.165568 0.99097
-0.00111833 0.149485 0.990822
-0.00143699 0.333423 0.979067
-0.00257298 0.189668 0.989374
-0.00218697 0.370061 0.970513
0.00120576 0.231097 0.987285
-0.00422012 0.267881 0.985122
-0.00274877 0.252886 0.985429
-0.0038749 0.177406 0.91929
-0.00464047 0.247573 0.98425
-0.00586795 0.236492 0.986457
-0.00420105 0.0911218 0.925752
-0.000755571 0.0356963 0.993811
0 0 1
0.000389293 0.116975 0.993325
-0.00528597 0.0561242 0.996563
-0.0110227 0.166045 0.991252
0.00108978 0.142145 0.988615
-0.00110221 0.18989 0.994224
-0.003668 0.147134 0.984973
-0.00487192 0.27111 0.982686
0.000836588 0.218236 0.98286
-0.00642699 0.664788 0.950982
-0.0027672 0.755707 0.931731
-0.00098969 0.967044 0.465295
-0.00581633 1.00594 0.217608
-0.00366534 0.870301 0.876709
-0.000237763 0.869333 0.662213
-0.00218771 0.931969 0.678388
-0.00177567 0.716145 0.028921
-0.00375497 1.01828 0.166643
-0.00496921 1.06544 0.0281898
0.000576042 1.01759 0.162184
0.00263732 0.629093 0.918022
-0.00566834 0.76899 0.916181
-0.00656096 0.778518 0.605863
-0.00345639 0.840194 0.831306
0.0172979 0.816537 0.909091
-0.0140234 0.931317 0.330916
-0.0145025 0.844789 0.101559
-0.000538446 1.0141 0.0338377
-0.000540525 0.853764 0.850825
-1.2435e-05 1.05959 0.0366361
0.074378 0.521197 0.182007
0.0153079 1.07046 0.0227914
-0.00244053 0.562156 0.9482
0.042256 0.973261 0.405037
0.000655383 0.553793 0.94456
0.0061903 0.746421 0.922957
-0.000719681 0.892562 0.794846
